category_slug,pid,product_slug,json_file,asin,updated_at
shampoos,5370a29e-8cba-11ed-a7ba-930ee103a0a2,socozy-curl-shampoo-for-kids-hair-ultra-hydrating-cleanser-no-parabens-sulfates-synthetic-colors-or-dyes-sweet-crème-105-fl-oz,output_json/shampoos/raw/B01APLULUC.raw.json,B01APLULUC,2024-04-23 12:43:00.191267
shampoos,3aaf87cd-8cba-11ed-a7ba-930ee103a0a2,ogx-nourishing-coconut-milk-moisturizing-shampoo-for-strong-healthy-hair-with-coconut-milk-coconut-oil-egg-white-protein-paraben-free-sulfate-free-surfactants-254-floz,output_json/shampoos/raw/B002KG28PW.raw.json,B002KG28PW,2024-04-23 12:42:45.124078
shampoos,4bdc127a8f2711eda7ba930ee103a0a2,kristin-ess-hair-deep-clean-clarifying-shampoo-for-build-up-dirt-and-oil-on-hair-and-scalp-cleanse-detox-oily-hair-vegan-10-fl-oz-visit-the-kristin-ess-store,output_json/shampoos/raw/B084F2M6PJ.raw.json,B084F2M6PJ,2024-04-23 12:43:19.175273
shampoos,912062a6-b581-11ee-92e6-6d304ea26a0e,redken-extreme-length-shampoo-infused-with-biotin-for-hair-growth-prevents-breakage-strengthens-hair-n-by-redken-n,output_json/shampoos/raw/B0876WXY8D.raw.json,B0876WXY8D,2024-04-23 12:43:21.897846
shampoos,a9d17cfe-9408-11ed-a7ba-930ee103a0a2,ouai-fine-shampoo-bring-fine-hair-to-the-next-level-with-strengthening-keratin-biotin-and-chia-seed-oil-hair-is-left-clean-bouncy-and-voluminous-free-from-parabens-sulfates-and-phthalates-10-oz-visit-the-ouai-store,output_json/shampoos/raw/B084BW599K.raw.json,B084BW599K,2024-04-23 12:43:17.866599
shampoos,120b29de8f0c11eda7ba930ee103a0a2,davines-oi-shampoo-nourishing-shampoo-for-all-hair-types-shine-volume-and-silky-smooth-hair-everyday-947-fl-oz-n-by-davines-n,output_json/shampoos/raw/B00ZPQ129C.raw.json,B00ZPQ129C,2024-04-23 12:42:58.874507
shampoos,5370a2c5-8cba-11ed-a7ba-930ee103a0a2,degrease-shampoo-for-oily-hair-care-clarifying-shampoo-for-oily-hair-and-oily-scalp-care-deep-cleansing-shampoo-for-greasy-hair-and-scalp-cleanser-for-build-up-with-natural-essential-oils-for-hair,output_json/shampoos/raw/B009DU4QYE.raw.json,B009DU4QYE,2024-04-23 12:42:50.292749
shampoos,5370a237-8cba-11ed-a7ba-930ee103a0a2,biolage-normalizing-clean-reset-shampoo-intense-cleansing-treatment-to-remove-buildup-paraben-free-for-all-hair-types,output_json/shampoos/raw/B00L00E2NU.raw.json,B00L00E2NU,2024-04-23 12:42:57.567112
shampoos,9c427c0e-9382-11ed-a7ba-930ee103a0a2,malibu-c-un-do-goo-ph-9-shampoo-n-by-malibu-c-n,output_json/shampoos/raw/B0741BYML6.raw.json,B0741BYML6,2024-04-23 12:43:03.471319
shampoos,d19bef368f7511eda7ba930ee103a0a2,malibu-c-hard-water-wellness-shampoo-n-by-malibu-c-n,output_json/shampoos/raw/B01N23J5C1.raw.json,B01N23J5C1,2024-04-23 12:43:01.483069
shampoos,10f4cfe4-942c-11ed-a7ba-930ee103a0a2,neutrogena-soothing-calming-healthy-scalp-shampoo-to-moisturize-dry-scalp-hair-with-tea-tree-oil-ph-balanced-paraben-free-phthalate-free-safe-for-color-treated-hair-12oz-visit-the-neutrogena-store,output_json/shampoos/raw/B08KSKVNLF.raw.json,B08KSKVNLF,2024-04-23 12:43:27.053991
shampoos,53703db3-8cba-11ed-a7ba-930ee103a0a2,acure-curiously-clarifying-shampoo-lemongrass-argan-100-vegan-performance-driven-hair-care-gently-cleanses-removes-buildup-boost-shine-replenishes-moisture-8-fl-oz,output_json/shampoos/raw/B082YFN2ZK.raw.json,B082YFN2ZK,2024-04-23 12:43:16.567550
shampoos,5370a44b-8cba-11ed-a7ba-930ee103a0a2,pureology-strength-cure-shampoo-for-damaged-color-treated-hair-fortifies-strengthens-hair-sulfate-free-vegan-updated-packaging,output_json/shampoos/raw/B0891843GD.raw.json,B0891843GD,2024-04-23 12:43:23.170315
shampoos,3aaf87e3-8cba-11ed-a7ba-930ee103a0a2,sheamoisture-curl-and-shine-coconut-shampoo-for-curly-hair-coconut-and-hibiscus-paraben-free-shampoo-13-oz,output_json/shampoos/raw/B0038TXGL0.raw.json,B0038TXGL0,2024-04-23 12:42:47.064513
shampoos,3aaf87df-8cba-11ed-a7ba-930ee103a0a2,ogx-thick-full-biotin-collagen-volumizing-shampoo-for-thin-hair-thickening-shampoo-with-vitamin-b7-hydrolyzed-wheat-protein-paraben-free-sulfate-free-surfactants-13-fl-oz,output_json/shampoos/raw/B00ADRH2OM.raw.json,B00ADRH2OM,2024-04-23 12:42:50.922254
shampoos,ddc10e54-b585-11ee-92e6-6d304ea26a0e,oribe-gold-lust-repair-restore-shampoo-n-by-oribe-n,output_json/shampoos/raw/B07XGVX19G.raw.json,B07XGVX19G,2024-04-23 12:43:13.932623
shampoos,0c440ce4-9422-11ed-a7ba-930ee103a0a2,dove-nutritive-solutions-shampoo-daily-moisture-204-oz-visit-the-dove-store,output_json/shampoos/raw/B000RYYI7K.raw.json,B000RYYI7K,2024-04-23 12:42:40.607109
shampoos,ecbccdcc-93d4-11ed-a7ba-930ee103a0a2,herbal-essences-rose-hips-smooth-shampoo-292-fl-oz-visit-the-herbal-essences-store,output_json/shampoos/raw/B084LHNR57.raw.json,B084LHNR57,2024-04-23 12:43:19.833496
shampoos,8f17e358-b586-11ee-92e6-6d304ea26a0e,paul-mitchell-color-protect-shampoo-adds-protection-for-color-treated-hair-n-by-paul-mitchell-n,output_json/shampoos/raw/B000SHSFSE.raw.json,B000SHSFSE,2024-04-23 12:42:41.253006
shampoos,2f820a2c-940d-11ed-a7ba-930ee103a0a2,herbal-essences-hello-hydration-shampoo-shampooing-for-hair-292-fl-oz-packaging-may-vary-visit-the-herbal-essences-store,output_json/shampoos/raw/B084LHV2M1.raw.json,B084LHV2M1,2024-04-23 12:43:20.589981
shampoos,5370a222-8cba-11ed-a7ba-930ee103a0a2,tresemmé-shampoo-for-dry-hair-moisture-rich-professional-quality-salon-healthy-look-and-shine-moisture-rich-formulated-with-vitamin-e-and-biotin-28-oz-3-count,output_json/shampoos/raw/B08BTMXSG6.raw.json,B08BTMXSG6,2024-04-23 12:43:24.432163
shampoos,eb7c6bdc-b586-11ee-92e6-6d304ea26a0e,loreal-paris-elvive-hyaluron-plump-hydrating-shampoo-for-dehydrated-dry-hair-infused-with-hyaluronic-acid-care-complex-paraben-free-126-fl-oz-visit-the-loreal-paris-store,output_json/shampoos/raw/B0BCR23QDG.raw.json,B0BCR23QDG,2024-04-23 12:43:34.425272
shampoos,1b620d6e8e6b11eda7ba930ee103a0a2,amazon-basics-dandruff-shampoo-everyday-use-normal-to-oily-hair-338-fluid-ounces-1-pack-previously-solimo-visit-the-amazon-basics-store,output_json/shampoos/raw/B09HHC154L.raw.json,B09HHC154L,2024-04-23 12:43:32.377061
shampoos,a3da133c-b587-11ee-92e6-6d304ea26a0e,redken-detox-hair-cleansing-cream-clarifying-shampoo-for-all-hair-types-removes-buildup-strengthens-hair-cuticle-n-by-redken-n,output_json/shampoos/raw/B086L7732Y.raw.json,B086L7732Y,2024-04-23 12:43:21.239979
shampoos,68cbe8f6-b5b4-11ee-92e6-6d304ea26a0e,fanola-no-yellow-shampoo-350-ml-exclusive-brand-fanola,output_json/shampoos/raw/B07RWBP1LH.raw.json,B07RWBP1LH,2024-04-23 12:43:13.256410
shampoos,53703d40-8cba-11ed-a7ba-930ee103a0a2,selsun-blue-moisturizing-with-aloe-dandruff-shampoo-11-fl-oz-pack-of-1,output_json/shampoos/raw/B001TSNM34.raw.json,B001TSNM34,2024-04-23 12:42:43.833539
steam-iron,3aaba026-8cba-11ed-a7ba-930ee103a0a2,blackdecker-easy-steam-compact-iron-ir40v-blue,output_json/steam-iron/raw/B01NB05WI5.raw.json,B01NB05WI5,2024-03-27 18:13:53.030869
steam-iron,3aaba01c-8cba-11ed-a7ba-930ee103a0a2,professional-grade-1700w-steam-iron-for-clothes-with-rapid-even-heat-scratch-resistant-stainless-steel-sole-plate-true-position-axial-aligned-steam-holes-self-cleaning-function,output_json/steam-iron/raw/B07JVFZJT7.raw.json,B07JVFZJT7,2024-03-27 18:14:41.282534
steam-iron,3aaba029-8cba-11ed-a7ba-930ee103a0a2,utopia-home-steam-iron-with-nonstick-soleplate-small-size-lightweight-best-for-travel-powerful-steam-output-dry-iron-function-1200-watt-blue,output_json/steam-iron/raw/B06XKVR8BF.raw.json,B06XKVR8BF,2024-03-27 18:13:53.681900
steam-iron,535acd87-8cba-11ed-a7ba-930ee103a0a2,beautural-steam-iron-for-clothes-with-precision-thermostat-dial-ceramic-coated-soleplate-3-way-auto-off-self-cleaning-anti-calcium-anti-drip,output_json/steam-iron/raw/B07VC2HWD2.raw.json,B07VC2HWD2,2024-03-27 18:15:00.897495
steam-iron,b547943f-8cba-11ed-a7ba-930ee103a0a2,rowenta-dw2459-access-steam-iron-with-retractable-cord-and-stainless-steel-soleplate-black-visit-the-rowenta-store,output_json/steam-iron/raw/B083JXZJMJ.raw.json,B083JXZJMJ,2024-03-27 18:15:15.917457
steam-iron,9d2ea33c-8cba-11ed-a7ba-930ee103a0a2,chi-steam-iron-for-clothes-with-titanium-infused-ceramic-soleplate-1700-watts-electronic-temperature-control-8-retractable-cord-3-way-auto-shutoff-400-holes-professional-grade-silver-13102-brand-chi-steam,output_json/steam-iron/raw/B072F2S4X2.raw.json,B072F2S4X2,2024-03-27 18:13:59.758506
steam-iron,8954b324-da25-11ee-9c7c-37d09b6bdb57,,output_json/steam-iron/raw/B07HXJXJMC.raw.json,B07HXJXJMC,2024-03-27 07:29:00.134644
steam-iron,02831953-8cbb-11ed-a7ba-930ee103a0a2,compact-steam-iron-grey-ir1020s-black-decker-light-neasy-visit-the-blackdecker-store,output_json/steam-iron/raw/B07DWGQ4LR.raw.json,B07DWGQ4LR,2024-03-27 18:14:26.948841
